artist,date,venue,city,region,country,performers
Briston Maroney,2022-11-04T19:00:00-0500,Brooklyn Bowl - Nashville,Nashville,TN,US,"['Briston Maroney', 'Cece Coakley', 'MICHELLE NYC', 'Indigo De Souza']"
Briston Maroney,2022-11-03T19:00:00-0500,Brooklyn Bowl - Nashville,Nashville,TN,US,"['Briston Maroney', 'Annie DiRusso', 'The Greeting Committee', 'Sunflower Bean']"
Briston Maroney,2022-10-02,Doheny State Beach,Dana Point,CA,US,['Briston Maroney']
Briston Maroney,2022-09-30,Doheny State Beach,Dana Point,CA,US,['Briston Maroney']
Briston Maroney,2022-09-24T20:00:00-0500,Headliners Music Hall,Louisville,KY,US,"['Briston Maroney', 'Medium Build']"
Briston Maroney,2022-09-23T19:00:00-0400,Metropolitan Theatre,Morgantown,WV,US,"['Briston Maroney', 'Medium Build']"
Briston Maroney,2022-09-22,Firefly 2022,Dover,DE,US,['Briston Maroney']
Briston Maroney,2022-09-20T19:00:00-0400,Phoenix Concert Hall,Toronto,ON,Canada,"['Briston Maroney', 'Medium Build']"
Briston Maroney,2022-09-19T20:00:00-0400,Intersection - Elevation,Grand Rapids,MI,US,"['Briston Maroney', 'Medium Build']"
Briston Maroney,2022-09-17T19:00:00-0400,Roxian Theatre,Pittsburgh,PA,US,"['Briston Maroney', 'Medium Build']"
Briston Maroney,2022-09-16T19:00:00-0400,Newport Music Hall,Columbus,OH,US,"['Briston Maroney', 'Medium Build']"
Briston Maroney,2022-09-14T20:00:00-0400,Jefferson Theater,Charlottesville,VA,US,['Briston Maroney']
Briston Maroney,2022-09-12T20:00:00-0400,Cat's Cradle,Carrboro,NC,US,"['Briston Maroney', 'Medium Build']"
Briston Maroney,2022-09-10T12:00:00-0500,Moon River Music Festival 2022,Chattanooga,TN,US,['Briston Maroney']
Briston Maroney,2022-09-09,Bristol Rhythm and Roots Reunion 2022,Bristol,TN,US,['Briston Maroney']
Briston Maroney,2022-09-08T19:30:00-0400,Georgia Theater,Athens,GA,US,"['Briston Maroney', 'Medium Build']"
Briston Maroney,2022-09-07T20:00:00-0400,Music Farm,Charleston,SC,US,"['Briston Maroney', 'Medium Build']"
Briston Maroney,2022-09-06T20:00:00-0400,Neighborhood Theatre,Charlotte,NC,US,"['Briston Maroney', 'Medium Build']"
Briston Maroney,2022-08-05,Golden Gate Park,San Francisco,CA,US,['Briston Maroney']
Briston Maroney,2022-08-04,Avenue of the Saints Amphitheater & Event Center,St. Charles,IA,US,['Briston Maroney']
Briston Maroney,2022-07-30,Prachtwerk,Berlin,,Germany,"['Briston Maroney', 'Francis of Delirium']"
Briston Maroney,2022-07-29,Molotow,Hamburg,,Germany,"['Briston Maroney', 'Francis of Delirium']"
Briston Maroney,2022-07-27,"Paradiso Noord, Tolhuistuin",Amsterdam,,Netherlands,"['Briston Maroney', 'Francis of Delirium']"
Briston Maroney,2022-07-26T19:30:00+0200,Le Hasard Ludique,Paris,,France,"['Briston Maroney', 'Francis of Delirium']"
Briston Maroney,2022-07-24T20:00:00+0100,Prince Albert,Brighton,,UK,"['Briston Maroney', 'Francis of Delirium']"
Briston Maroney,2022-07-21T10:00:00+0100,Henham Park,Southwold,,UK,['Briston Maroney']
Briston Maroney,2022-07-21T19:00:00+0100,The Garage,London,,UK,"['Briston Maroney', 'Francis of Delirium']"
Briston Maroney,2022-07-20T19:30:00+0100,Band On The Wall,Manchester,,UK,"['Briston Maroney', 'Francis of Delirium']"
Briston Maroney,2022-07-18T19:30:00+0100,Exchange,Bristol,,UK,"['Briston Maroney', 'Francis of Delirium']"
Briston Maroney,2022-07-12T19:30:00-0600,Red Rocks Amphitheatre,Morrison,CO,US,"['Rainbow Kitten Surprise', 'Briston Maroney']"
Briston Maroney,2022-07-11T19:30:00-0600,Red Rocks Amphitheatre,Morrison,CO,US,"['Rainbow Kitten Surprise', 'Briston Maroney']"
Briston Maroney,2022-07-09T20:00:00-0500,WhiteWater Amphitheater,New Braunfels,TX,US,"['Rainbow Kitten Surprise', 'Briston Maroney']"
Briston Maroney,2022-07-06T19:00:00-0500,Avondale Brewing Company,Birmingham,AL,US,"['Rainbow Kitten Surprise', 'Briston Maroney']"
Briston Maroney,2022-07-05T19:00:00-0500,Avondale Brewing Company,Birmingham,AL,US,"['Rainbow Kitten Surprise', 'Briston Maroney']"
Briston Maroney,2022-07-03T19:00:00-0400,Rabbit Rabbit,Asheville,NC,US,"['Rainbow Kitten Surprise', 'Briston Maroney']"
Briston Maroney,2022-07-02T19:30:00-0400,Live Oak Bank Pavilion,Wilmington,NC,US,"['Rainbow Kitten Surprise', 'Briston Maroney']"
Briston Maroney,2022-07-01T19:00:00-0400,Woodlands Nature Reserve,Charleston,SC,US,"['Rainbow Kitten Surprise', 'Briston Maroney']"
