artist,date,venue,city,region,country
Adam Melchor,2022-12-08T20:00:00+0100,Popup!,Paris,,France
Adam Melchor,2022-12-05T19:30:00+0000,Moth Club,London,,UK
Adam Melchor,2022-12-04T19:00:00+0000,Rock City,Nottingham,,UK
Adam Melchor,2022-12-03T18:30:00+0000,"Nick Rayns LCR, UEA",Norwich,,UK
Adam Melchor,2022-11-20T19:00:00-0800,The Observatory North Park,San Diego,CA,US
Adam Melchor,2022-11-19T19:00:00-0800,The Wiltern,Los Angeles (LA),CA,US
Adam Melchor,2022-11-18T20:00:00-0800,The Regency Ballroom,San Francisco,CA,US
Adam Melchor,2022-11-16T20:00:00-0800,McMenamins Crystal Ballroom,Portland,OR,US
Adam Melchor,2022-11-15T20:00:00-0800,Showbox SoDo,Seattle,WA,US
Adam Melchor,2022-11-13T19:00:00-0700,The Depot,Salt Lake City,UT,US
Adam Melchor,2022-11-12T19:00:00-0700,The Depot,Salt Lake City,UT,US
Adam Melchor,2022-11-11T19:00:00-0700,Washington's,Fort Collins,CO,US
Adam Melchor,2022-11-09T19:00:00-0700,Boulder Theater,Boulder,CO,US
Adam Melchor,2022-11-08T19:00:00-0700,Boulder Theater,Boulder,CO,US
Adam Melchor,2022-11-05T19:00:00-0500,First Avenue,Minneapolis,MN,US
Adam Melchor,2022-11-04T20:00:00-0500,The Sylvee,Madison,WI,US
Adam Melchor,2022-11-03T18:30:00-0500,Riviera Theatre,Chicago,IL,US
Adam Melchor,2022-11-01T19:00:00-0400,History,Toronto,ON,Canada
Adam Melchor,2022-10-30T20:00:00-0400,Higher Ground Ballroom,South Burlington,VT,US
Adam Melchor,2022-10-29T20:00:00-0400,Higher Ground Ballroom,South Burlington,VT,US
Adam Melchor,2022-10-28T20:00:00-0400,Higher Ground Ballroom,South Burlington,VT,US
Adam Melchor,2022-10-27T20:00:00-0400,Higher Ground Ballroom,South Burlington,VT,US
Adam Melchor,2022-10-25T20:00:00-0400,State Theatre,Portland,ME,US
Adam Melchor,2022-10-22T20:00:00-0400,MGM Music Hall at Fenway,Boston,MA,US
Adam Melchor,2022-10-21T20:00:00-0400,Calvin Theatre,Northampton,MA,US
Adam Melchor,2022-10-20T19:30:00-0400,Pier 17,New York (NYC),NY,US
Adam Melchor,2022-10-19,The Fillmore Philadelphia,Philadelphia,PA,US
Adam Melchor,2022-10-16T20:00:00-0400,The Fillmore Silver Spring,Silver Spring,MD,US
Adam Melchor,2022-10-15T20:00:00-0400,The Fillmore Charlotte,Charlotte,NC,US
Adam Melchor,2022-10-13T19:00:00-0400,The Eastern,Atlanta,GA,US
Adam Melchor,2022-10-12T20:00:00-0400,Charleston Music Hall,Charleston,SC,US
Adam Melchor,2022-08-06T22:00:00-0700,Bimbo's 365 Club,San Francisco,CA,US
Adam Melchor,2022-07-28T20:00:00-0400,State Theatre,Portland,ME,US
Adam Melchor,2022-07-26T20:00:00-0400,Higher Ground,South Burlington,VT,US
Adam Melchor,2022-07-09T21:00:00-0400,Old National Centre,Indianapolis,IN,US
Adam Melchor,2022-06-25T17:00:00-0400,Rockwood Music Hall,New York (NYC),NY,US
Adam Melchor,2022-06-17,Taste Of Randolph Street 2022,Chicago,IL,US
Adam Melchor,2022-05-11,The Great Escape,Brighton,,UK
Adam Melchor,2022-04-27T20:00:00-0700,McMenamins Crystal Ballroom,Portland,OR,US
Adam Melchor,2022-04-26T20:00:00-0700,Paramount Theatre,Seattle,WA,US
Adam Melchor,2022-04-20T20:00:00-0700,Marquee Theatre,Tempe,AZ,US
Adam Melchor,2022-04-19T20:00:00-0700,Fox Theater,Pomona,CA,US
Adam Melchor,2022-04-14T20:00:00-0600,Knitting Factory - Boise,Boise,ID,US
Adam Melchor,2022-04-13T19:30:00-0600,Union Event Center (The Union),Salt Lake City,UT,US
Adam Melchor,2022-04-10T20:00:00-0600,Ogden Theatre,Denver,CO,US
Adam Melchor,2022-04-09T20:00:00-0600,Boulder Theater,Boulder,CO,US
Adam Melchor,2022-04-07T20:00:00-0500,The Pageant,St Louis,MO,US
Adam Melchor,2022-04-06T19:00:00-0400,Royal Oak Music Theatre,Royal Oak,MI,US
Adam Melchor,2022-04-05T20:00:00-0400,Old National Centre,Indianapolis,IN,US
Adam Melchor,2022-04-03T18:30:00-0500,Fillmore Minneapolis,Minneapolis,MN,US
Adam Melchor,2022-04-01T20:00:00-0500,The Sylvee,Madison,WI,US
Adam Melchor,2022-03-30T19:00:00-0400,KEMBA Live!,Columbus,OH,US
Adam Melchor,2022-03-27T20:00:00-0400,Roadrunner,Boston,MA,US
Adam Melchor,2022-03-26T20:00:00-0400,Roadrunner,Boston,MA,US
Adam Melchor,2022-03-25T19:00:00-0400,Queen Elizabeth Theatre,Toronto,ON,Canada
Adam Melchor,2022-03-23T20:00:00-0400,Echostage,Washington,DC,US
Adam Melchor,2022-03-22T19:00:00-0400,Stage AE,Pittsburgh,PA,US
Adam Melchor,2022-03-20T20:00:00-0400,The NorVa,Norfolk,VA,US
Adam Melchor,2022-03-18T20:30:00-0400,The Eastern,Atlanta,GA,US
Adam Melchor,2022-03-17T20:00:00-0400,The Fillmore Charlotte,Charlotte,NC,US
Adam Melchor,2022-03-16T20:00:00-0400,Charleston Music Hall,Charleston,SC,US
Adam Melchor,2022-03-15T19:00:00-0400,Jannus Live,St Petersburg,FL,US
Adam Melchor,2022-03-12T19:00:00-0600,House of Blues - Houston,Houston,TX,US
Adam Melchor,2022-03-10T19:00:00-0600,House of Blues - Dallas,Dallas,TX,US
Adam Melchor,2022-03-09T18:30:00-0600,Stubb's Waller Creek Amphitheater (Outdoors),Austin,TX,US
Adam Melchor,2021-12-04T20:00:00-0500,The Foundry,Philadelphia,PA,US
Adam Melchor,2021-12-03T20:00:00-0500,White Eagle Hall,Jersey City,NJ,US
Adam Melchor,2021-12-02T19:00:00-0500,Spirit Hall,Pittsburgh,PA,US
Adam Melchor,2021-12-01T19:00:00-0500,A&R Music Bar,Columbus,OH,US
Adam Melchor,2021-11-28T19:00:00-0500,Velvet Underground,Toronto,ON,Canada
Adam Melchor,2021-11-20,Autódromo Hermanos Rodríguez,Mexico City,,Mexico
Adam Melchor,2021-11-19T20:00:00-0600,Antone's,Austin,TX,US
Adam Melchor,2021-11-12T21:00:00-0500,Grey Eagle,Asheville,NC,US
Adam Melchor,2021-11-10T20:00:00-0500,Terminal West,Atlanta,GA,US
Adam Melchor,2021-11-09T21:00:00-0500,Charleston Pour House - Main Stage,Charleston,SC,US
Adam Melchor,2021-11-08T20:00:00-0500,Neighborhood Theatre,Charlotte,NC,US
Adam Melchor,2021-11-05T20:00:00-0400,Music Hall of Williamsburg,Brooklyn,NY,US
Adam Melchor,2021-11-01T20:00:00-0400,The Sinclair,Cambridge,MA,US
Adam Melchor,2021-10-28T19:30:00-0400,1627 Prospect St,Indianapolis,IN,US
Adam Melchor,2021-10-27T18:30:00-0500,Lincoln Hall,Chicago,IL,US
Adam Melchor,2021-10-26T20:00:00-0500,High Noon Saloon,Madison,WI,US
Adam Melchor,2021-10-24T20:00:00-0500,Fine Line,Minneapolis,MN,US
Adam Melchor,2021-10-22T21:00:00-0600,Bluebird Theater,Denver,CO,US
Adam Melchor,2021-10-20,Urban Lounge,Salt Lake City,UT,US
Adam Melchor,2021-10-19T20:00:00-0600,The Olympic Venue,Boise,ID,US
