artist,city,country,date,venue
Sun Room,St Louis,US,2022-11-19T20:00:00-0600,Blueberry Hill Duck Room
Sun Room,Kansas City,US,2022-11-18T19:00:00-0600,recordBar
Sun Room,Minneapolis,US,2022-11-16T20:00:00-0600,7th St Entry
Sun Room,Chicago,US,2022-11-15,Lincoln Hall
Sun Room,Indianapolis,US,2022-11-12T20:00:00-0500,Hi-Fi
Sun Room,Columbus,US,2022-11-10T19:00:00-0500,A&R Music Bar
Sun Room,Cincinnati,US,2022-11-09T20:00:00-0500,Top Cats
Sun Room,Pittsburgh,US,2022-11-08T20:00:00-0500,Thunderbird Cafe & Music Hall
Sun Room,Detroit,US,2022-11-06,El Club
Sun Room,Toronto,Canada,2022-11-05T19:00:00-0400,Velvet Underground
Sun Room,Brooklyn,US,2022-11-03T19:00:00-0400,Music Hall of Williamsburg
Sun Room,Boston,US,2022-11-02T19:00:00-0400,Royale Boston
Sun Room,Philadelphia,US,2022-10-31T20:00:00-0400,The Foundry
Sun Room,Washington,US,2022-10-30,Union Stage
Sun Room,Charleston,US,2022-10-29T20:00:00-0400,Music Farm
Sun Room,Atlanta,US,2022-10-27T20:00:00-0400,Aisle 5
Sun Room,Nashville,US,2022-10-26T20:00:00-0500,The Basement East
Sun Room,Malibu,US,2022-10-21T08:00:00-0700,Aviator Nation Dreamland
Sun Room,Los Angeles (LA),US,2022-10-15T19:00:00-0700,El Rey Theatre
Sun Room,Ventura,US,2022-09-24T20:00:00-0700,Ventura Music Hall
Sun Room,Ventura,US,2022-09-24T08:00:00-0700,Ventura Music Hall
Sun Room,San Luis Obispo,US,2022-09-23T19:00:00-0700,Fremont Theater
Sun Room,Santa Cruz,US,2022-09-22T21:00:00-0700,The Catalyst
Sun Room,Berkeley,US,2022-09-21T20:00:00-0700,Cornerstone Berkeley
Sun Room,Portland,US,2022-09-18T20:00:00-0700,Holocene
Sun Room,Vancouver,Canada,2022-09-17T20:00:00-0700,Fox Cabaret
Sun Room,Seattle,US,2022-09-16T19:00:00-0700,Chop Suey
Sun Room,Salt Lake City,US,2022-09-14,Kilby Court
Sun Room,Denver,US,2022-09-13T20:00:00-0600,Bluebird Theater
Sun Room,Houston,US,2022-09-10T19:00:00-0500,White Oak Music Hall - Upstairs
Sun Room,Fort Worth,US,2022-09-09T20:00:00-0500,Tulips
Sun Room,Austin,US,2022-09-08T20:00:00-0500,Empire - GARAGE
Sun Room,Fuengirola,Spain,2022-08-27,Marenostrum Castle Park
Sun Room,Denver,US,2022-07-29,UMS - The Underground Music Showcase 2022
Sun Room,San Clemente,US,2022-07-23,North Beach Boogie 2022
Sun Room,San Diego,US,2022-06-24T19:00:00-0700,The Observatory North Park
Sun Room,Mexico City,Mexico,2022-06-17T20:30:00-0500,Pepsi Center WTC
Sun Room,Mexico City,Mexico,2022-06-15T20:30:00-0500,Pepsi Center WTC
Sun Room,Mexico City,Mexico,2022-06-14T20:30:00-0500,Pepsi Center WTC
Sun Room,Zapopan,Mexico,2022-06-12T21:00:00-0500,Auditorio Telmex
Sun Room,Monterrey,Mexico,2022-06-11T21:00:00-0500,Auditorio Citibanamex
Sun Room,San Juan,Puerto Rico,2022-06-08T19:00:00-0400,Coca-Cola Music Hall
Sun Room,Alajuela,Costa Rica,2022-06-05T19:00:00-0600,Anfiteatro Coca-Cola Parque Viva
Sun Room,Bogota,Colombia,2022-06-03T18:00:00-0500,Movistar Arena
Sun Room,Lima,Peru,2022-06-01T19:00:00-0500,Arena Perú
Sun Room,São Paulo,Brazil,2022-05-29T17:00:00-0300,Espaço Unimed
Sun Room,São Paulo,Brazil,2022-05-28T17:30:00-0300,Espaço Unimed
Sun Room,Rio de Janeiro,Brazil,2022-05-27T18:30:00-0300,Jeunesse Arena
Sun Room,Montevideo,Uruguay,2022-05-24T21:00:00-0300,Antel Arena
Sun Room,Buenos Aires,Argentina,2022-05-22T21:00:00-0300,Movistar Arena
Sun Room,Buenos Aires,Argentina,2022-05-21T21:00:00-0300,Movistar Arena
Sun Room,Asunción,Paraguay,2022-05-19T21:00:00-0400,SND Arena
Sun Room,Santiago,Chile,2022-05-17T21:00:00-0400,Movistar Arena
Sun Room,Santiago,Chile,2022-05-16T21:00:00-0400,Movistar Arena
Sun Room,Santiago,Chile,2022-05-15T20:00:00-0400,Movistar Arena
Sun Room,Stockholm,Sweden,2022-04-30T21:00:00+0200,Debaser Strand
Sun Room,Berlin,Germany,2022-04-17,Hole 44
Sun Room,College Station,US,2022-04-02T16:30:00-0500,College Station
Sun Room,Inglewood,US,2022-03-13T20:00:00-0700,YouTube Theater
Sun Room,Inglewood,US,2022-03-12T20:00:00-0800,YouTube Theater
Sun Room,Oakland,US,2022-03-10T20:00:00-0800,Fox Theater
Sun Room,Portland,US,2022-03-07T20:00:00-0800,Roseland Theater
Sun Room,Vancouver,Canada,2022-03-06T20:00:00-0800,Orpheum Theatre
Sun Room,Portland,US,2022-03-04T20:00:00-0800,Roseland Theater
Sun Room,Seattle,US,2022-03-03T20:00:00-0800,Paramount Theatre
Sun Room,Orem,US,2022-03-01T19:30:00-0700,UCCU Center
Sun Room,Denver,US,2022-02-28T19:00:00-0700,Fillmore Auditorium
Sun Room,Kansas City,US,2022-02-26T19:30:00-0600,Uptown Theater
Sun Room,Minneapolis,US,2022-02-24T18:00:00-0600,Fillmore Minneapolis
Sun Room,Chicago,US,2022-02-23T20:00:00-0600,Chicago Theatre
Sun Room,Indianapolis,US,2022-02-21T20:00:00-0500,"Murat Theatre, Old National Centre"
Sun Room,Detroit,US,2022-02-20T19:00:00-0500,The Fillmore
Sun Room,Cincinnati,US,2022-02-19T20:00:00-0500,Andrew J. Brady Music Center
Sun Room,Boston,US,2022-02-17T19:00:00-0500,House of Blues - Boston
Sun Room,Philadelphia,US,2022-02-15T20:00:00-0500,The Met Philadelphia
Sun Room,Pittsburgh,US,2022-02-14T18:30:00-0500,Stage AE
