artist,date,venue,city,region,country,performers
The Greeting Committee,2022-12-11T18:30:00-0500,Aisle 5,Atlanta,GA,US,"['The Greeting Committee', 'WILLIS']"
The Greeting Committee,2022-12-10T20:00:00-0500,Cat's Cradle,Carrboro,NC,US,['The Greeting Committee']
The Greeting Committee,2022-12-09T19:00:00-0500,Black Cat,Washington,DC,US,"['The Greeting Committee', 'WILLIS']"
The Greeting Committee,2022-12-07T20:00:00-0500,The Foundry,Philadelphia,PA,US,"['The Greeting Committee', 'WILLIS']"
The Greeting Committee,2022-12-06T20:00:00-0500,Music Hall of Williamsburg,Brooklyn,NY,US,"['The Greeting Committee', 'WILLIS']"
The Greeting Committee,2022-12-05T19:00:00-0500,Brighton Music Hall,Boston,MA,US,"['The Greeting Committee', 'WILLIS']"
The Greeting Committee,2022-12-03T19:00:00-0500,Drake Hotel Underground,Toronto,ON,Canada,"['The Greeting Committee', 'WILLIS']"
The Greeting Committee,2022-12-01T19:00:00-0500,El Club,Detroit,MI,US,"['The Greeting Committee', 'WILLIS']"
The Greeting Committee,2022-11-30,Lincoln Hall,Chicago,IL,US,"['The Greeting Committee', 'WILLIS']"
The Greeting Committee,2022-11-29T20:00:00-0600,Delmar Hall,St Louis,MO,US,"['The Greeting Committee', 'WILLIS']"
The Greeting Committee,2022-11-18T19:00:00-0600,"Cambridge Room, House of Blues",Dallas,TX,US,['The Greeting Committee']
The Greeting Committee,2022-11-17T19:00:00-0600,"Bronze Peacock Room, House of Blues",Houston,TX,US,['The Greeting Committee']
The Greeting Committee,2022-11-15T19:30:00-0700,Valley Bar,Phoenix,AZ,US,['The Greeting Committee']
The Greeting Committee,2022-11-14T20:00:00-0800,El Rey Theatre,Los Angeles (LA),CA,US,['The Greeting Committee']
The Greeting Committee,2022-11-13T19:00:00-0800,Popscene @ Rickshaw Stop,San Francisco,CA,US,['The Greeting Committee']
The Greeting Committee,2022-11-11T20:00:00-0800,Hawthorne Theater Lounge,Portland,OR,US,['The Greeting Committee']
The Greeting Committee,2022-11-10T20:00:00-0800,Fox Cabaret,Vancouver,BC,Canada,['The Greeting Committee']
The Greeting Committee,2022-11-09T19:00:00-0800,Neumos,Seattle,WA,US,['The Greeting Committee']
The Greeting Committee,2022-11-07T20:00:00-0700,Soundwell,Salt Lake City,UT,US,['The Greeting Committee']
The Greeting Committee,2022-11-06T19:00:00-0700,Aggie Theatre,Fort Collins,CO,US,['The Greeting Committee']
The Greeting Committee,2022-11-03T19:00:00-0500,Brooklyn Bowl - Nashville,Nashville,TN,US,"['Briston Maroney', 'Annie DiRusso', 'The Greeting Committee', 'Sunflower Bean']"
The Greeting Committee,2022-11-01T19:00:00-0500,miniBar,Kansas City,MO,US,['The Greeting Committee']
The Greeting Committee,2022-04-09T20:00:00-0500,Uptown Theater,Kansas City,MO,US,"['The Greeting Committee', 'Raffaella']"
The Greeting Committee,2022-03-03,Globe Hall,Denver,CO,US,"['The Greeting Committee', 'OSTON']"
The Greeting Committee,2022-03-02,Globe Hall,Denver,CO,US,"['The Greeting Committee', 'OSTON']"
The Greeting Committee,2022-03-01,Kilby Court,Salt Lake City,UT,US,"['The Greeting Committee', 'OSTON']"
The Greeting Committee,2022-02-27T20:00:00-0800,Holocene,Portland,OR,US,"['The Greeting Committee', 'OSTON']"
The Greeting Committee,2022-02-25T17:30:00-0800,Madame Lou's,Seattle,WA,US,"['The Greeting Committee', 'OSTON']"
The Greeting Committee,2022-02-23T19:00:00-0800,Bottom of the Hill,San Francisco,CA,US,"['The Greeting Committee', 'OSTON']"
